"Name","Measure","Measure.Info","Geo.Type.Name","Geo.Place.Name","Time.Period","Data.Value","season_abb","Year","above_NAAQS_standard"
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Washington Heights","Winter 2010-11",9.28,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Central Harlem - Morningside Heights","Winter 2010-11",7.04,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","East Harlem","Winter 2010-11",6.1,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Upper West Side","Winter 2010-11",9.31,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Upper East Side","Winter 2010-11",10.51,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Chelsea - Clinton","Winter 2010-11",7.09,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Gramercy Park - Murray Hill","Winter 2010-11",8.37,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Greenwich Village - SoHo","Winter 2010-11",6.14,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Union Square - Lower East Side","Winter 2010-11",6.66,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Lower Manhattan","Winter 2010-11",3.78,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Long Island City - Astoria","Winter 2010-11",4.5,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","West Queens","Winter 2010-11",4.79,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Flushing - Clearview","Winter 2010-11",3.85,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Bayside - Little Neck","Winter 2010-11",3.02,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Ridgewood - Forest Hills","Winter 2010-11",3.99,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Fresh Meadows","Winter 2010-11",3.47,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Southwest Queens","Winter 2010-11",3.22,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Southeast Queens","Winter 2010-11",2.56,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Rockaways","Winter 2010-11",1.9,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Port Richmond","Winter 2010-11",2.08,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Stapleton - St. George","Winter 2010-11",2.08,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Willowbrook","Winter 2010-11",1.83,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","South Beach - Tottenville","Winter 2010-11",1.56,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Kingsbridge - Riverdale","Winter 2011-12",3.71,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Northeast Bronx","Winter 2011-12",2.8,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Fordham - Bronx Pk","Winter 2011-12",5.06,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Pelham - Throgs Neck","Winter 2011-12",2.5,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Crotona -Tremont","Winter 2011-12",4.92,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","High Bridge - Morrisania","Winter 2011-12",4.75,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Hunts Point - Mott Haven","Winter 2011-12",2.63,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Greenpoint","Winter 2011-12",1.95,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Downtown - Heights - Slope","Winter 2011-12",1.76,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Bedford Stuyvesant - Crown Heights","Winter 2011-12",1.88,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","East New York","Winter 2011-12",1.57,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Sunset Park","Winter 2011-12",1.49,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Borough Park","Winter 2011-12",1.61,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","East Flatbush - Flatbush","Winter 2011-12",1.78,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Canarsie - Flatlands","Winter 2011-12",1.21,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Bensonhurst - Bay Ridge","Winter 2011-12",1.25,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Coney Island - Sheepshead Bay","Winter 2011-12",1.14,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Williamsburg - Bushwick","Winter 2011-12",2.05,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Washington Heights","Winter 2011-12",6.14,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Central Harlem - Morningside Heights","Winter 2011-12",4.46,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","East Harlem","Winter 2011-12",3.71,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Upper West Side","Winter 2011-12",5.92,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Upper East Side","Winter 2011-12",6.31,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Chelsea - Clinton","Winter 2011-12",4.34,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Gramercy Park - Murray Hill","Winter 2011-12",4.97,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Greenwich Village - SoHo","Winter 2011-12",3.58,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Union Square - Lower East Side","Winter 2011-12",3.8,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Lower Manhattan","Winter 2011-12",2.13,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Long Island City - Astoria","Winter 2011-12",2.49,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","West Queens","Winter 2011-12",2.44,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Flushing - Clearview","Winter 2011-12",1.97,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Bayside - Little Neck","Winter 2011-12",1.56,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Ridgewood - Forest Hills","Winter 2011-12",1.92,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Fresh Meadows","Winter 2011-12",1.7,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Southwest Queens","Winter 2011-12",1.52,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Jamaica","Winter 2011-12",1.45,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Southeast Queens","Winter 2011-12",1.3,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Rockaways","Winter 2011-12",0.88,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Port Richmond","Winter 2011-12",1.04,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Stapleton - St. George","Winter 2011-12",0.98,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","South Beach - Tottenville","Winter 2011-12",0.66,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Kingsbridge - Riverdale","Winter 2012-13",2.23,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Northeast Bronx","Winter 2012-13",1.53,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Fordham - Bronx Pk","Winter 2012-13",3.15,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Pelham - Throgs Neck","Winter 2012-13",1.54,"W",2013,FALSE
